Cell_ID,Precursor,Cycle,Capacity
Cell_1,Waste Carton,1,347.93
Cell_1,Waste Carton,2,348.61
Cell_1,Waste Carton,3,347.9
Cell_1,Waste Carton,4,347.15
Cell_1,Waste Carton,5,348.89
Cell_1,Waste Carton,6,346.84
Cell_1,Waste Carton,7,346.56
Cell_1,Waste Carton,8,346.1
Cell_1,Waste Carton,9,345.82
Cell_1,Waste Carton,10,345.63
Cell_1,Waste Carton,11,345.13
Cell_1,Waste Carton,12,344.25
Cell_1,Waste Carton,13,343.7
Cell_1,Waste Carton,14,343.93
Cell_1,Waste Carton,15,343.08
Cell_1,Waste Carton,16,343.46
Cell_1,Waste Carton,17,342.77
Cell_1,Waste Carton,18,342.19
Cell_1,Waste Carton,19,342.35
Cell_1,Waste Carton,20,341.4
Cell_1,Waste Carton,21,341.3
Cell_1,Waste Carton,22,341.02
Cell_1,Waste Carton,23,340.92
Cell_1,Waste Carton,24,340.14
Cell_1,Waste Carton,25,339.9
Cell_1,Waste Carton,26,339.52
Cell_1,Waste Carton,27,339.53
Cell_1,Waste Carton,28,338.69
Cell_1,Waste Carton,29,339.25
Cell_1,Waste Carton,30,338.4
Cell_1,Waste Carton,31,338.36
Cell_1,Waste Carton,32,336.56
Cell_1,Waste Carton,33,337.36
Cell_1,Waste Carton,34,336.57
Cell_1,Waste Carton,35,336.79
Cell_1,Waste Carton,36,336.72
Cell_1,Waste Carton,37,335.92
Cell_1,Waste Carton,38,336.01
Cell_1,Waste Carton,39,334.55
Cell_1,Waste Carton,40,334.84
Cell_1,Waste Carton,41,335.0
Cell_1,Waste Carton,42,334.63
Cell_1,Waste Carton,43,333.46
Cell_1,Waste Carton,44,333.07
Cell_1,Waste Carton,45,332.64
Cell_1,Waste Carton,46,332.92
Cell_1,Waste Carton,47,332.55
Cell_1,Waste Carton,48,331.4
Cell_1,Waste Carton,49,331.69
Cell_1,Waste Carton,50,331.24
Cell_1,Waste Carton,51,331.11
Cell_1,Waste Carton,52,330.84
Cell_1,Waste Carton,53,330.39
Cell_1,Waste Carton,54,330.88
Cell_1,Waste Carton,55,329.94
Cell_1,Waste Carton,56,328.51
Cell_1,Waste Carton,57,328.23
Cell_1,Waste Carton,58,328.3
Cell_1,Waste Carton,59,327.98
Cell_1,Waste Carton,60,327.88
Cell_1,Waste Carton,61,327.9
Cell_1,Waste Carton,62,327.19
Cell_1,Waste Carton,63,326.81
Cell_1,Waste Carton,64,326.82
Cell_1,Waste Carton,65,326.11
Cell_1,Waste Carton,66,325.84
Cell_1,Waste Carton,67,325.49
Cell_1,Waste Carton,68,324.39
Cell_1,Waste Carton,69,324.09
Cell_1,Waste Carton,70,325.23
Cell_1,Waste Carton,71,323.89
Cell_1,Waste Carton,72,323.13
Cell_1,Waste Carton,73,322.42
Cell_1,Waste Carton,74,322.97
Cell_1,Waste Carton,75,322.4
Cell_1,Waste Carton,76,322.04
Cell_1,Waste Carton,77,321.8
Cell_1,Waste Carton,78,321.85
Cell_1,Waste Carton,79,320.66
Cell_1,Waste Carton,80,321.47
Cell_1,Waste Carton,81,320.64
Cell_1,Waste Carton,82,319.91
Cell_1,Waste Carton,83,320.03
Cell_1,Waste Carton,84,319.63
Cell_1,Waste Carton,85,318.79
Cell_1,Waste Carton,86,319.17
Cell_1,Waste Carton,87,318.78
Cell_1,Waste Carton,88,318.01
Cell_1,Waste Carton,89,317.68
Cell_1,Waste Carton,90,316.68
Cell_1,Waste Carton,91,316.84
Cell_1,Waste Carton,92,316.88
Cell_1,Waste Carton,93,315.97
Cell_1,Waste Carton,94,316.25
Cell_1,Waste Carton,95,316.32
Cell_1,Waste Carton,96,315.79
Cell_1,Waste Carton,97,314.84
Cell_1,Waste Carton,98,314.5
Cell_1,Waste Carton,99,314.34
Cell_1,Waste Carton,100,313.61
Cell_2,Waste Carton,1,345.85
Cell_2,Waste Carton,2,346.31
Cell_2,Waste Carton,3,346.12
Cell_2,Waste Carton,4,345.37
Cell_2,Waste Carton,5,344.16
Cell_2,Waste Carton,6,344.9
Cell_2,Waste Carton,7,344.64
Cell_2,Waste Carton,8,343.85
Cell_2,Waste Carton,9,343.47
Cell_2,Waste Carton,10,342.72
Cell_2,Waste Carton,11,344.29
Cell_2,Waste Carton,12,342.79
Cell_2,Waste Carton,13,341.51
Cell_2,Waste Carton,14,341.96
Cell_2,Waste Carton,15,340.52
Cell_2,Waste Carton,16,340.36
Cell_2,Waste Carton,17,341.18
Cell_2,Waste Carton,18,341.01
Cell_2,Waste Carton,19,339.21
Cell_2,Waste Carton,20,339.78
Cell_2,Waste Carton,21,339.21
Cell_2,Waste Carton,22,339.48
Cell_2,Waste Carton,23,338.15
Cell_2,Waste Carton,24,338.49
Cell_2,Waste Carton,25,337.73
Cell_2,Waste Carton,26,338.2
Cell_2,Waste Carton,27,337.11
Cell_2,Waste Carton,28,337.28
Cell_2,Waste Carton,29,336.27
Cell_2,Waste Carton,30,335.53
Cell_2,Waste Carton,31,335.28
Cell_2,Waste Carton,32,335.3
Cell_2,Waste Carton,33,335.25
Cell_2,Waste Carton,34,334.08
Cell_2,Waste Carton,35,335.02
Cell_2,Waste Carton,36,333.97
Cell_2,Waste Carton,37,333.45
Cell_2,Waste Carton,38,333.57
Cell_2,Waste Carton,39,333.17
Cell_2,Waste Carton,40,333.23
Cell_2,Waste Carton,41,333.12
Cell_2,Waste Carton,42,331.45
Cell_2,Waste Carton,43,331.5
Cell_2,Waste Carton,44,331.48
Cell_2,Waste Carton,45,330.8
Cell_2,Waste Carton,46,330.44
Cell_2,Waste Carton,47,330.46
Cell_2,Waste Carton,48,329.37
Cell_2,Waste Carton,49,330.4
Cell_2,Waste Carton,50,329.21
Cell_2,Waste Carton,51,329.3
Cell_2,Waste Carton,52,328.2
Cell_2,Waste Carton,53,327.57
Cell_2,Waste Carton,54,327.88
Cell_2,Waste Carton,55,327.37
